Key,Name,pos1_value,pos2_value,pos3_value,pos4_value,pos5_value
1,abaddon,0.34916201117318435,0.01675977653631285,0.22625698324022347,0.03910614525139665,0.3687150837988827
2,alchemist,0.7082997582594682,0.10394842868654311,0.1063658340048348,0.0378726833199033,0.043513295729250605
3,ancient-apparition,0.0,0.014450867052023121,0.008670520231213872,0.08670520231213873,0.8901734104046243
4,anti-mage,0.848780487804878,0.05203252032520325,0.07642276422764227,0.011382113821138212,0.011382113821138212
5,arc-warden,0.4473007712082262,0.5295629820051414,0.010282776349614395,0.010282776349614395,0.002570694087403599
6,axe,0.003416856492027335,0.004555808656036446,0.9749430523917996,0.015945330296127564,0.0011389521640091116
7,bane,0.007722007722007722,0.021235521235521235,0.03861003861003861,0.14285714285714285,0.7895752895752896
8,batrider,0.005161290322580645,0.3221505376344086,0.4843010752688172,0.12387096774193548,0.06451612903225806
9,beastmaster,0.006392694063926941,0.0136986301369863,0.9726027397260274,0.005479452054794521,0.0018264840182648401
10,bloodseeker,0.8851924331376386,0.028049575994781473,0.08153946510110893,0.001304631441617743,0.003913894324853229
11,bounty-hunter,0.0010548523206751054,0.014416315049226441,0.08720112517580872,0.5959915611814346,0.30133614627285515
12,brewmaster,0.015503875968992248,0.050387596899224806,0.6356589147286822,0.08914728682170543,0.20930232558139536
13,bristleback,0.17647058823529413,0.16470588235294117,0.6235294117647059,0.03529411764705882,0.0
14,broodmother,0.20441988950276244,0.43646408839779005,0.34806629834254144,0.0055248618784530384,0.0055248618784530384
15,centaur-warrunner,0.0,0.006993006993006993,0.9370629370629371,0.013986013986013986,0.04195804195804196
16,chaos-knight,0.7695167286245354,0.01858736059479554,0.18587360594795538,0.0037174721189591076,0.022304832713754646
17,chen,0.015189873417721518,0.005063291139240506,0.020253164556962026,0.10632911392405063,0.8531645569620253
18,clinkz,0.033375052148518984,0.04422194409678765,0.04505632040050062,0.7100542344597414,0.16729244889445138
19,clockwerk,0.002,0.032,0.078,0.408,0.48
20,crystal-maiden,0.0,0.0,0.0,0.06979958534899793,0.9302004146510021
21,dark-seer,0.0014534883720930232,0.007267441860465116,0.9796511627906976,0.010174418604651164,0.0014534883720930232
22,dark-willow,0.012345679012345678,0.053497942386831275,0.06172839506172839,0.6131687242798354,0.25925925925925924
23,dawnbreaker,0.039473684210526314,0.07017543859649122,0.5328947368421053,0.1206140350877193,0.23684210526315788
24,dazzle,0.0,0.12169312169312169,0.026455026455026454,0.07936507936507936,0.7724867724867724
25,death-prophet,0.002849002849002849,0.3418803418803419,0.6068376068376068,0.019943019943019943,0.02849002849002849
26,disruptor,0.0,0.0075107296137339056,0.001072961373390558,0.12446351931330472,0.8669527896995708
27,doom,0.031306441902468396,0.022275737507525588,0.8988561107766406,0.03190848886213125,0.015653220951234198
28,dragon-knight,0.04666666666666667,0.36666666666666664,0.54,0.02,0.02666666666666667
29,drow-ranger,0.9666666666666667,0.011111111111111112,0.0,0.005555555555555556,0.016666666666666666
30,earth-spirit,0.002702702702702703,0.27837837837837837,0.12162162162162163,0.5459459459459459,0.051351351351351354
31,earthshaker,0.0048,0.1952,0.1744,0.5728,0.0528
32,elder-titan,0.017699115044247787,0.017699115044247787,0.3230088495575221,0.15486725663716813,0.48672566371681414
