Key,Name,pos1_value,pos2_value,pos3_value,pos4_value,pos5_value
1,abaddon,0.34831460674157305,0.016853932584269662,0.22752808988764045,0.03932584269662921,0.36797752808988765
2,alchemist,0.707395498392283,0.1045016077170418,0.10610932475884244,0.03858520900321544,0.04340836012861737
3,ancient-apparition,0.0,0.014534883720930232,0.00872093023255814,0.0872093023255814,0.8895348837209303
4,anti-mage,0.849025974025974,0.05194805194805195,0.0762987012987013,0.011363636363636364,0.011363636363636364
5,arc-warden,0.4484536082474227,0.5283505154639175,0.010309278350515464,0.010309278350515464,0.002577319587628866
6,axe,0.003409090909090909,0.004545454545454545,0.975,0.015909090909090907,0.0011363636363636363
7,bane,0.007751937984496124,0.02131782945736434,0.03682170542635659,0.14147286821705427,0.7926356589147286
8,batrider,0.00516795865633075,0.3242894056847545,0.4827734711455642,0.12360034453057708,0.06416881998277348
9,beastmaster,0.006398537477148081,0.013711151736745886,0.9725776965265083,0.005484460694698354,0.0018281535648994515
10,bloodseeker,0.8845901639344262,0.02819672131147541,0.08196721311475409,0.0013114754098360656,0.003934426229508197
11,bounty-hunter,0.001053740779768177,0.014401123990165085,0.0874604847207587,0.59536354056902,0.301721109940288
12,brewmaster,0.01556420233463035,0.05058365758754864,0.6342412451361867,0.08949416342412451,0.21011673151750973
13,bristleback,0.1744186046511628,0.16279069767441862,0.627906976744186,0.03488372093023256,0.0
14,broodmother,0.2011173184357542,0.43575418994413406,0.35195530726256985,0.00558659217877095,0.00558659217877095
15,centaur-warrunner,0.0,0.006993006993006993,0.9370629370629371,0.013986013986013986,0.04195804195804196
16,chaos-knight,0.7703703703703704,0.018518518518518517,0.18518518518518517,0.003703703703703704,0.022222222222222223
17,chen,0.015113350125944584,0.005037783375314861,0.020151133501259445,0.10579345088161209,0.853904282115869
18,clinkz,0.032999164578111945,0.04427736006683375,0.04553049289891395,0.7101086048454469,0.1670843776106934
19,clockwerk,0.002012072434607646,0.03219315895372234,0.07645875251509054,0.4104627766599598,0.4788732394366197
20,crystal-maiden,0.0,0.0,0.0,0.06906077348066299,0.930939226519337
21,dark-seer,0.001445086705202312,0.0072254335260115606,0.9797687861271677,0.010115606936416185,0.001445086705202312
22,dark-willow,0.012269938650306749,0.053169734151329244,0.06134969325153374,0.6155419222903885,0.25766871165644173
23,dawnbreaker,0.039301310043668124,0.06986899563318777,0.5305676855895196,0.1222707423580786,0.23799126637554585
24,dazzle,0.0,0.12169312169312169,0.026455026455026454,0.07407407407407407,0.7777777777777778
25,death-prophet,0.002840909090909091,0.3465909090909091,0.5994318181818182,0.019886363636363636,0.03125
26,disruptor,0.0,0.007518796992481203,0.0010741138560687433,0.12352309344790548,0.8678839957035446
27,doom,0.031850961538461536,0.022235576923076924,0.8984375,0.031850961538461536,0.015625
28,dragon-knight,0.04697986577181208,0.3691275167785235,0.5369127516778524,0.020134228187919462,0.026845637583892617
29,drow-ranger,0.9668508287292817,0.011049723756906077,0.0,0.0055248618784530384,0.016574585635359115
30,earth-spirit,0.0027063599458728013,0.2787550744248985,0.12043301759133965,0.5466847090663058,0.05142083897158322
31,earthshaker,0.004761904761904762,0.19523809523809524,0.17777777777777778,0.5698412698412698,0.05238095238095238
32,elder-titan,0.013392857142857142,0.017857142857142856,0.32589285714285715,0.15625,0.48660714285714285
33,ember-spirit,0.015121951219512195,0.9663414634146341,0.008292682926829269,0.008292682926829269,0.001951219512195122
34,enchantress,0.009221311475409836,0.010245901639344262,0.06454918032786885,0.3012295081967213,0.6147540983606558
35,enigma,0.03125,0.025,0.8125,0.08125,0.05
36,faceless-void,0.9574468085106383,0.0050062578222778474,0.02002503128911139,0.006257822277847309,0.011264080100125156
37,grimstroke,0.0,0.0,0.008547008547008548,0.48717948717948717,0.5042735042735043
38,gyrocopter,0.21568627450980393,0.0196078431372549,0.0196078431372549,0.38235294117647056,0.3627450980392157
39,hoodwink,0.004901960784313725,0.024509803921568627,0.03431372549019608,0.7254901960784313,0.2107843137254902
40,huskar,0.08196721311475409,0.8313817330210773,0.06088992974238876,0.01639344262295082,0.00936768149882904
41,invoker,0.0,0.9164926931106472,0.0020876826722338203,0.054279749478079335,0.027139874739039668
42,io,0.023060796645702306,0.14465408805031446,0.029350104821802937,0.2389937106918239,0.5639412997903563
43,jakiro,0.002793296089385475,0.002793296089385475,0.025139664804469275,0.1005586592178771,0.8687150837988827
44,juggernaut,0.9846846846846847,0.0,0.006306306306306306,0.0036036036036036037,0.005405405405405406
45,keeper-of-the-light,0.0027548209366391185,0.047750229568411386,0.025711662075298437,0.7098255280073462,0.21395775941230485
46,kunkka,0.01875,0.73125,0.15625,0.0375,0.05625
47,legion-commander,0.07340485601355166,0.06549971767363072,0.8537549407114624,0.005081874647092038,0.002258610954263128
48,leshrac,0.021645021645021644,0.8874458874458875,0.06493506493506493,0.017316017316017316,0.008658008658008658
49,lich,0.0009208103130755065,0.001841620626151013,0.0,0.03406998158379374,0.9631675874769797
50,lifestealer,0.958904109589041,0.0,0.02054794520547945,0.0,0.02054794520547945
